Ticker	EntryTime	ExitTime	Return [%]	CAGR [%]	Sharpe Ratio	Max. Drawdown [%]	Win Rate [%]	# Trades	Expectancy [%]	Profit Factor	Duration	Avg. Trade [%]	Max. Trade Duration	Avg. Trade Duration
SPY	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	15.805301818847639	7.6760548848050725	1.0239827828077708	-1.6499477870776547	100.0	4	5.2042138057533105		728 days 02:30:00	5.1494277546658695	2 days 05:00:00	1 days 12:00:00
META	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	19.451644592285156	9.37166794108444	1.7367322625469916	-3.6438731308602423	100.0	4	6.2685066372549265		728 days 02:30:00	6.243560926197622	7 days 04:00:00	4 days 12:00:00
AAPL	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	68.81682540893563	30.20196165805713	1.8865785635141628	-1.5640421066317134	100.0	12	5.478582956207008		728 days 02:30:00	5.40930113732121	7 days 05:00:00	3 days 14:00:00
AMZN	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	32.71859802246095	15.334070476193995	1.6281310774369195	-2.1478584624397334	100.0	10	3.6788037018491373		728 days 02:30:00	3.6344431740905847	7 days 05:00:00	3 days 01:00:00
NFLX	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	18.067002258300782	8.730849825095355	1.5512393790662773	-1.1298104930936193	100.0	4	5.883666335243406		728 days 02:30:00	5.872469113067713	3 days 01:00:00	2 days 03:00:00
MRNA	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	130.24891416549679	52.2465940704524	2.398110945391297	-2.85391934450715	100.0	10	11.16907171120073		728 days 02:30:00	11.010507765874756	7 days 01:00:00	4 days 21:00:00
TSLA	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	196.71741073608396	73.00588936758956	2.0100482764373804	-3.6002440223745547	92.85714285714286	15	8.355081585940658	2662.8027434331975	728 days 02:30:00	8.12159474544658	6 days 05:00:00	2 days 09:00:00
TNA	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	57.68279748916628	25.80076885725773	1.7941023986033453	-3.1869811491418987	100.0	6	9.816938736357464		728 days 02:30:00	9.550251507297203	7 days 01:00:00	3 days 13:00:00
GLD	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	4.303499450683593	2.1462988917863246	1.6084200253247627	-0.3583736966983886	100.0	3	2.1494765712553487		728 days 02:30:00	2.149083609081437	6 days 05:00:00	4 days 17:00:00
SLV	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	29.468971576690656	13.902042490520827	2.57271611029695	-1.2977850559725224	100.0	10	2.9194119412875703		728 days 02:30:00	2.9149110465783723	4 days 06:00:00	3 days 14:00:00
USO	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	34.109417572021485	15.9416496410951	2.1787278387926006	-2.238326209625663	100.0	9	3.7694754484547066		728 days 02:30:00	3.7499270068461543	4 days 04:00:00	2 days 11:00:00
BAC	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	9.098952941894531	4.486834854244948	1.1315883415244419	-5.466986864383616	100.0	5	2.2129557809195233		728 days 02:30:00	2.203517586739112	5 days 05:00:00	3 days 05:00:00
CVX	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	26.308414154052734	12.492060137592187	2.9000417552425852	-1.427507807665085	100.0	13	1.9929692570920716		728 days 02:30:00	1.975737028100455	8 days 03:00:00	2 days 06:00:00
XOM	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	44.81370010375964	20.51693100594434	2.7815631847730664	-1.3309049928864058	100.0	15	3.1585299571177026		728 days 02:30:00	3.1443362756893745	5 days 06:00:00	2 days 11:00:00
QQQ	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	11.154580078124999	5.474479434080526	0.6538896839243745	-0.2912274460702746	100.0	2	11.183408480660129		728 days 02:30:00	11.183408480660129	0 days 06:00:00	0 days 06:00:00
MSFT	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	36.17952697753903	16.84021782111016	1.790523616887138	-2.0149781435448766	100.0	9	4.0477118870696795		728 days 02:30:00	4.015092195643755	5 days 06:00:00	2 days 13:00:00
NVDA	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	26.243693618774433	12.463005368817992	1.849114640017817	-2.1412223907568473	100.0	5	6.177929765514828		728 days 02:30:00	6.038745163549941	8 days 05:00:00	3 days 04:00:00
WMT	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	12.972006225585956	6.340158675161467	1.0078043107360435	-2.415665775338738	100.0	2	12.973304031085654		728 days 02:30:00	12.973304031085654	6 days 06:00:00	6 days 06:00:00
BA	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	58.405774841308634	26.091145196541632	2.4113428841517224	-2.108200497573265	100.0	11	4.75735056571126		728 days 02:30:00	4.7318987296745	5 days 06:00:00	2 days 05:00:00
DIS	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	36.76417831420893	17.092767231265714	1.5654116945641876	-1.8853392783382494	100.0	11	3.252280100853659		728 days 02:30:00	3.1887387996066163	6 days 01:00:00	2 days 15:00:00
CAT	2023-06-26 13:30:00+00:00	2025-06-23 16:00:00+00:00	29.65198928833008	13.983164238373625	2.4408471308603836	-2.2230726082206664	100.0	11	3.0047506765920766		728 days 02:30:00	2.973008611569128	5 days 05:00:00	2 days 07:00:00
