Ticker	EntryTime	ExitTime	EntryPrice	ExitPrice	Duration	Size	EntryBar	ExitBar	ReturnPct	PnL	caso
AAPL	2023-07-03 14:30:00+00:00	2023-07-11 17:30:00+00:00	192.9149932861328	187.406005859375	8 days 03:00:00						1
AAPL	2023-07-07 19:30:00+00:00	2023-07-11 17:30:00+00:00	191.7400054931641	187.406005859375	3 days 22:00:00						2
AAPL	2023-07-20 14:30:00+00:00	2023-07-21 19:30:00+00:00	194.9026031494141	192.41000366210935	1 days 05:00:00	-51.0	145.0	157.0	0.012788949182961362	127.12257385254196	3
AAPL	2023-08-10 16:30:00+00:00	2023-08-11 14:30:00+00:00	178.36000061035156	178.2899932861328	0 days 22:00:00	-56.0	252.0	257.0	0.0003925057410808508	3.92041015625	4
AAPL	2023-09-06 13:30:00+00:00	2023-09-07 13:30:00+00:00	188.5200042724609	175.17999267578125	1 days 00:00:00	-53.0	375.0	382.0	0.07076178280475653	707.020614624022	5
AAPL	2023-09-25 18:30:00+00:00	2023-09-28 13:30:00+00:00	175.7700958251953	169.33999633789062	2 days 19:00:00	-61.0	471.0	487.0	0.03658244286160872	392.23606872558594	6
AAPL	2023-10-12 17:30:00+00:00	2023-10-23 13:30:00+00:00	180.33999633789065	171.58999633789062	10 days 20:00:00	-62.0	561.0	606.0	0.04851946422137965	542.5000000000018	7
AAPL	2023-11-22 19:30:00+00:00	2023-11-27 14:30:00+00:00	191.63999938964844	190.25070190429688	4 days 19:00:00	-61.0	765.0	770.0	0.007249517270801031	84.74714660644531	8
AAPL	2024-04-29 18:30:00+00:00	2024-05-01 19:30:00+00:00	174.26010131835938	172.38499450683594	2 days 01:00:00	-68.0	1510.0	1525.0	0.010760390917584517	127.50726318359375	9
AAPL	2024-05-22 15:30:00+00:00	2024-05-23 19:30:00+00:00	192.13999938964844	187.6199951171875	1 days 04:00:00	-62.0	1626.0	1637.0	0.02352453568657842	280.2402648925781	10
AAPL	2024-06-12 19:30:00+00:00	2024-06-14 15:30:00+00:00	217.7400054931641	213.59500122070312	1 days 20:00:00	-56.0	1728.0	1738.0	0.019036484650915897	232.1202392578141	11
AAPL	2024-06-17 19:30:00+00:00	2024-06-21 19:30:00+00:00	218.16000366210935	210.4149932861328	4 days 00:00:00	-57.0	1749.0	1770.0	0.03550151377872257	441.46559143066247	12
AAPL	2024-08-02 18:30:00+00:00	2024-08-06 13:30:00+00:00	223.4199981689453	205.38999938964844	3 days 19:00:00	-57.0	1968.0	1977.0	0.08070002205291837	1027.7099304199219	13
AAPL	2024-11-19 18:30:00+00:00	2024-11-21 14:30:00+00:00	229.5500030517578	228.7899932861328	1 days 20:00:00	-60.0	2499.0	2509.0	0.003310868026665359	45.6005859375	14
AAPL	2024-12-11 19:30:00+00:00	2024-12-18 20:30:00+00:00	248.2801055908203	249.9199981689453	7 days 01:00:00	-56.0	2601.0	2637.0	-0.006605009991528021	-91.833984375	15
AAPL	2025-02-26 14:30:00+00:00	2025-03-05 15:30:00+00:00	244.3300018310547	230.94000244140625	7 days 01:00:00	-56.0	2942.0	2978.0	0.05480292755413285	749.8399658203125	16
AAPL	2025-03-28 13:30:00+00:00	2025-03-28 19:30:00+00:00	221.6490020751953	218.5	0 days 06:00:00	-66.0	3096.0	3102.0	0.014207156566069301	207.83413696289062	17
AAPL	2025-05-14 15:30:00+00:00	2025-05-23 19:30:00+00:00	212.6179962158203	195.4600067138672	9 days 04:00:00	-69.0	3322.0	3375.0	0.08069866994954045	1183.9012756347656	18
AAPL	2025-06-04 17:30:00+00:00	2025-06-05 19:30:00+00:00	203.41200256347656	200.7400054931641	1 days 02:00:00	-78.0	3422.0	3431.0	0.013135886951797016	208.41577148437278	19
AMD	2023-07-07 18:30:00+00:00	2023-07-11 14:30:00+00:00	114.92849731445312	110.83000183105467	3 days 20:00:00						1
AMD	2023-08-02 14:30:00+00:00	2023-08-02 15:30:00+00:00	112.0999984741211	109.9000015258789	0 days 01:00:00	-89.0	207.0	208.0	0.019625307566351724	195.7997283935547	2
AMD	2023-10-12 16:30:00+00:00	2023-10-26 19:30:00+00:00	110.06999969482422	94.5199966430664	14 days 03:00:00	-92.0	559.0	632.0	0.14127376301327466	1430.6002807617188	3
AMD	2023-11-14 17:30:00+00:00	2023-11-21 14:30:00+00:00	120.54000091552734	120.54000091552734	6 days 21:00:00	-96.0	720.0	752.0	-0.0	-0.0	4
AMD	2023-11-29 19:30:00+00:00	2023-12-05 15:30:00+00:00	124.23999786376952	117.41000366210938	5 days 20:00:00	-93.0	788.0	812.0	0.0549741976746434	635.1894607543932	5
AMD	2023-12-14 16:30:00+00:00	2023-12-20 20:30:00+00:00	138.02999877929688	135.7449951171875	6 days 04:00:00	-88.0	862.0	894.0	0.016554398915579083	201.080322265625	6
AMD	2023-12-29 16:30:00+00:00	2024-01-03 14:30:00+00:00	147.63999938964844	135.375	4 days 22:00:00	-84.0	932.0	944.0	0.08307368897556622	1030.2599487304688	7
AMD	2024-01-25 18:30:00+00:00	2024-01-31 14:30:00+00:00	180.1199951171875	165.74000549316406	5 days 20:00:00	-74.0	1053.0	1077.0	0.07983560967047387	1064.1192321777344	8
AMD	2024-02-15 15:30:00+00:00	2024-02-21 14:30:00+00:00	176.83999633789062	162.55999755859375	5 days 23:00:00	-82.0	1155.0	1175.0	0.08075095609033989	1170.9598999023438	9
AMD	2024-03-08 16:30:00+00:00	2024-03-14 18:30:00+00:00	211.6699981689453	187.1300048828125	6 days 02:00:00	-74.0	1261.0	1292.0	0.11593515140745692	1815.9595031738281	10
AMD	2024-04-01 19:30:00+00:00	2024-04-02 15:30:00+00:00	183.4600067138672	176.7100067138672	0 days 20:00:00	-95.0	1370.0	1373.0	0.03679276001841436	641.25	11
AMD	2024-05-22 16:30:00+00:00	2024-05-23 17:30:00+00:00	167.04989624023438	162.00979614257812	1 days 01:00:00	-108.0	1626.0	1634.0	0.030171225550527092	544.330810546875	12
AMD	2024-05-28 18:30:00+00:00	2024-06-04 18:30:00+00:00	171.85009765625	161.99000549316406	7 days 00:00:00	-108.0	1649.0	1684.0	0.057376121966534965	1064.8899536132812	13
AMD	2024-07-12 19:30:00+00:00	2024-07-19 17:30:00+00:00	184.4499969482422	151.4149932861328	6 days 22:00:00	-107.0	1863.0	1896.0	0.179100049925071	3534.745391845703	14
AMD	2024-09-27 14:30:00+00:00	2024-10-01 16:30:00+00:00	166.1750030517578	160.69000244140625	4 days 02:00:00	-140.0	2236.0	2252.0	0.03300737481342586	767.9000854492188	15
AMD	2024-10-09 14:30:00+00:00	2024-10-10 18:30:00+00:00	170.97500610351562	163.4897003173828	1 days 04:00:00	-140.0	2292.0	2303.0	0.04378011708682661	1047.9428100585938	16
AMD	2025-03-26 14:30:00+00:00	2025-04-08 19:30:00+00:00	111.44000244140624	78.44000244140625	13 days 05:00:00	-225.0	3082.0	3150.0	0.2961234680280178	7424.999999999996	17
AMD	2025-04-15 17:30:00+00:00	2025-04-21 16:30:00+00:00	95.45999908447266	84.19999694824219	5 days 23:00:00	-341.0	3183.0	3203.0	0.11795518797634263	3839.66072845459	18
AMD	2025-05-05 19:30:00+00:00	2025-05-07 18:30:00+00:00	101.4000015258789	97.66999816894533	1 days 23:00:00	-359.0	3276.0	3289.0	0.03678504241424119	1339.0712051391552	19
AMZN	2023-09-01 15:30:00+00:00	2023-09-06 16:30:00+00:00	137.8800048828125	135.1199951171875	5 days 01:00:00						1
AMZN	2023-10-12 17:30:00+00:00	2023-10-13 16:30:00+00:00	131.94500732421875	130.66000366210938	0 days 23:00:00	-75.0	560.0	566.0	0.009738933576712183	96.37527465820312	2
AMZN	2024-01-30 15:30:00+00:00	2024-01-31 20:30:00+00:00	160.81500244140625	156.02999877929688	1 days 05:00:00	-62.0	1071.0	1083.0	0.029754709383241873	296.67022705078125	3
AMZN	2024-02-26 19:30:00+00:00	2024-02-27 17:30:00+00:00	175.33819580078125	174.00999450683594	0 days 22:00:00	-59.0	1201.0	1206.0	0.007575082473498362	78.36387634277344	4
AMZN	2024-03-04 17:30:00+00:00	2024-03-05 19:30:00+00:00	178.32000732421875	173.91000366210938	1 days 02:00:00	-58.0	1234.0	1243.0	0.024730840516909436	255.78021240234375	5
AMZN	2024-05-09 18:30:00+00:00	2024-05-15 13:30:00+00:00	190.625	185.7700042724609	5 days 19:00:00	-56.0	1565.0	1588.0	0.025468830046106672	271.8797607421891	6
AMZN	2024-06-27 18:30:00+00:00	2024-06-28 19:30:00+00:00	198.375	194.02999877929688	1 days 01:00:00	-55.0	1796.0	1804.0	0.02190296771620981	238.97506713867188	7
AMZN	2024-07-05 17:30:00+00:00	2024-07-19 17:30:00+00:00	199.9600067138672	182.8000030517578	14 days 00:00:00	-56.0	1826.0	1896.0	0.08581717886549423	960.960205078125	8
AMZN	2024-08-21 15:30:00+00:00	2024-08-28 17:30:00+00:00	179.58999633789062	170.3800048828125	7 days 02:00:00	-67.0	2055.0	2092.0	0.05128343250116185	617.0694274902344	9
AMZN	2024-09-25 14:30:00+00:00	2024-10-03 13:30:00+00:00	193.0200042724609	183.0449981689453	7 days 23:00:00	-66.0	2222.0	2263.0	0.05167861300756782	658.3504028320294	10
AMZN	2024-11-14 15:30:00+00:00	2024-11-15 18:30:00+00:00	212.3999938964844	201.55999755859372	1 days 03:00:00	-63.0	2474.0	2484.0	0.051035765769247954	682.919769287113	11
AMZN	2025-04-28 14:30:00+00:00	2025-04-30 15:30:00+00:00	188.45150756835935	181.75	2 days 01:00:00	-75.0	3236.0	3251.0	0.03556091248528981	502.61306762695096	12
AMZN	2025-05-13 16:30:00+00:00	2025-05-15 13:30:00+00:00	213.9600067138672	206.4499969482422	1 days 21:00:00	-68.0	3315.0	3326.0	0.03510006323596859	510.6806640625	13
APP	2023-06-28 17:30:00+00:00	2023-07-06 15:30:00+00:00	26.149999618530277	25.40999984741211	7 days 22:00:00						1
APP	2023-07-31 16:30:00+00:00	2023-08-02 15:30:00+00:00	31.32999992370605	30.20359992980957	1 days 23:00:00	-319.0	195.0	208.0	0.035952760824751295	359.3215980529774	2
APP	2023-09-18 19:30:00+00:00	2023-09-25 13:30:00+00:00	44.31999969482422	37.34999847412109	6 days 18:00:00	-233.0	436.0	465.0	0.1572653715861172	1624.0102844238297	3
