Ticker	EntryTime	ExitTime	EntryPrice	ExitPrice	Duration	Size	EntryBar	ExitBar	ReturnPct	PnL	caso
AAPL	2023-07-11 19:30:00+00:00	2023-07-17 18:30:00+00:00	187.1300048828125	193.6649932861328	5 days 23:00:00						1
AAPL	2023-08-07 17:30:00+00:00	2023-08-10 13:30:00+00:00	178.33999633789062	179.47999572753906	2 days 20:00:00	56.0	266.0	283.0	0.006392281109440789	63.8399658203125	2
AAPL	2023-08-09 17:30:00+00:00	2023-08-10 13:30:00+00:00	178.65899658203125	179.47999572753906	0 days 20:00:00						3
AAPL	2023-08-11 17:30:00+00:00	2023-08-14 19:30:00+00:00	177.89999389648438	178.9600067138672	3 days 02:00:00	56.0	295.0	304.0	0.005958475850199374	59.3607177734375	4
AAPL	2023-09-14 15:30:00+00:00	2023-09-14 16:30:00+00:00	175.38999938964844	175.50999450683594	0 days 01:00:00	57.0	454.0	455.0	0.0006841616831352315	6.8397216796875	5
AAPL	2023-09-15 19:30:00+00:00	2023-09-19 17:30:00+00:00	174.77000427246094	178.5800018310547	3 days 22:00:00	57.0	465.0	477.0	0.021800065603100105	217.16986083984375	6
AAPL	2023-09-28 15:30:00+00:00	2023-10-02 14:30:00+00:00	170.5	173.35000610351562	3 days 23:00:00	60.0	524.0	537.0	0.016715578319739688	171.0003662109375	7
AAPL	2023-10-23 14:30:00+00:00	2023-10-24 18:30:00+00:00	171.58999633789062	172.75	1 days 04:00:00	61.0	642.0	653.0	0.006760322203312574	70.76022338867188	8
AAPL	2023-10-26 18:30:00+00:00	2023-12-01 16:30:00+00:00	167.1699981689453	190.83999633789065	35 days 22:00:00	63.0	667.0	835.0	0.14159238157689025	1491.2098846435565	9
AAPL	2023-11-30 20:30:00+00:00	2023-12-01 16:30:00+00:00	188.76499938964844	190.83999633789065	0 days 20:00:00						10
AAPL	2023-12-04 20:30:00+00:00	2023-12-05 16:30:00+00:00	189.06500244140625	193.5599975585937	0 days 20:00:00	63.0	846.0	849.0	0.023774866099718794	283.1846923828089	11
AAPL	2023-12-27 17:30:00+00:00	2023-12-28 14:30:00+00:00	192.4750061035156	194.13999938964844	0 days 21:00:00	64.0	955.0	959.0	0.008650438931470328	106.55957031250182	12
AAPL	2024-02-02 16:30:00+00:00	2024-02-07 14:30:00+00:00	187.009994506836	190.63999938964844	4 days 22:00:00	66.0	1129.0	1148.0	0.01941075337917164	239.58032226562125	13
AAPL	2024-03-07 17:30:00+00:00	2024-03-08 18:30:00+00:00	169.1699981689453	172.23500061035156	1 days 01:00:00	75.0	1291.0	1299.0	0.01811788422640581	229.87518310546875	14
AAPL	2024-03-25 14:30:00+00:00	2024-03-27 19:30:00+00:00	170.0399932861328	173.0	2 days 05:00:00	76.0	1373.0	1392.0	0.017407708955188284	224.96051025390625	15
AAPL	2024-03-27 13:30:00+00:00	2024-03-27 19:30:00+00:00	170.4199981689453	173.0	0 days 06:00:00						16
AAPL	2024-04-02 18:30:00+00:00	2024-04-04 15:30:00+00:00	168.9199981689453	171.27999877929688	1 days 21:00:00	77.0	1413.0	1424.0	0.013971114349594194	181.7200469970703	17
AAPL	2024-04-08 17:30:00+00:00	2024-04-12 13:30:00+00:00	168.64500427246094	174.28500366210938	3 days 20:00:00	79.0	1440.0	1464.0	0.03344302675302813	445.55995178222656	18
AAPL	2024-04-11 15:30:00+00:00	2024-04-12 13:30:00+00:00	169.0010986328125	174.28500366210938	0 days 22:00:00						19
AAPL	2024-04-19 18:30:00+00:00	2024-04-29 16:30:00+00:00	165.02000427246094	174.32769775390625	9 days 22:00:00	83.0	1505.0	1545.0	0.05640342528459508	772.5385589599609	20
AAPL	2024-07-25 17:30:00+00:00	2024-07-31 14:30:00+00:00	219.42999267578125	222.83999633789065	5 days 21:00:00	66.0	1962.0	1987.0	0.015540280617644786	225.06024169922063	21
AAPL	2024-07-30 17:30:00+00:00	2024-07-31 14:30:00+00:00	217.2400054931641	222.83999633789065	0 days 21:00:00						22
AAPL	2024-08-06 14:30:00+00:00	2024-08-16 16:30:00+00:00	204.97999572753903	226.3500061035156	10 days 02:00:00	72.0	2016.0	2074.0	0.10425412636061204	1538.6407470703125	23
AAPL	2024-10-08 13:30:00+00:00	2024-10-09 17:30:00+00:00	224.3099975585937	228.83999633789065	1 days 04:00:00	72.0	2323.0	2334.0	0.02019526025857865	326.15991210938114	24
AAPL	2024-11-04 17:30:00+00:00	2024-11-07 20:30:00+00:00	221.1150054931641	227.5350036621093	3 days 03:00:00	75.0	2459.0	2483.0	0.02903465621714063	481.4998626708899	25
AAPL	2025-01-03 17:30:00+00:00	2025-01-06 15:30:00+00:00	242.77999877929688	245.5399932861328	2 days 22:00:00	70.0	2738.0	2743.0	0.011368294425872172	193.19961547851562	26
AAPL	2025-01-13 17:30:00+00:00	2025-01-15 14:30:00+00:00	232.2899932861328	234.63999938964844	1 days 21:00:00	74.0	2773.0	2784.0	0.010116691081999862	173.90045166015625	27
AAPL	2025-01-21 16:30:00+00:00	2025-01-23 14:30:00+00:00	220.08999633789065	224.72999572753903	1 days 22:00:00	79.0	2807.0	2819.0	0.021082282097569127	366.5599517822221	28
