Ticker	EntryTime	ExitTime	EntryPrice	ExitPrice	Duration	Size	EntryBar	ExitBar	ReturnPct	PnL	caso
AAPL	2023-07-03 14:30:00+00:00	2023-07-11 17:30:00+00:00	192.9149932861328	187.406005859375	8 days 03:00:00						1
AAPL	2023-07-10 13:30:00+00:00	2023-07-11 17:30:00+00:00	189.259994506836	187.406005859375	1 days 04:00:00						2
AAPL	2023-07-20 14:30:00+00:00	2023-07-21 19:30:00+00:00	194.9026031494141	192.41000366210932	1 days 05:00:00	51.0	173.0	185.0	-0.012788949182961473	-127.12257385254341	3
AAPL	2023-08-10 16:30:00+00:00	2023-08-11 14:30:00+00:00	178.36000061035156	178.2899932861328	0 days 22:00:00	55.0	280.0	285.0	-0.0003925057410808508	-3.85040283203125	4
AAPL	2023-09-06 13:30:00+00:00	2023-09-07 13:30:00+00:00	188.5200042724609	175.17999267578125	1 days 00:00:00	52.0	403.0	410.0	-0.07076178280475653	-693.6806030273423	5
AAPL	2023-09-25 18:30:00+00:00	2023-09-28 13:30:00+00:00	175.7700958251953	169.33999633789062	2 days 19:00:00	52.0	499.0	515.0	-0.03658244286160872	-334.36517333984375	6
AAPL	2023-10-12 17:30:00+00:00	2023-10-23 13:30:00+00:00	180.33999633789065	171.58999633789062	10 days 20:00:00	49.0	589.0	634.0	-0.04851946422137965	-428.75000000000136	7
AAPL	2023-11-22 19:30:00+00:00	2023-11-27 14:30:00+00:00	191.63999938964844	190.25070190429688	4 days 19:00:00	43.0	793.0	798.0	-0.007249517270801031	-59.73979187011719	8
AAPL	2024-04-29 18:30:00+00:00	2024-05-01 19:30:00+00:00	174.26010131835938	172.38499450683594	2 days 01:00:00	47.0	1538.0	1553.0	-0.010760390917584517	-88.13002014160156	9
AAPL	2024-05-22 15:30:00+00:00	2024-05-23 19:30:00+00:00	192.13999938964844	187.6199951171875	1 days 04:00:00	43.0	1654.0	1665.0	-0.02352453568657842	-194.3601837158203	10
AAPL	2024-06-12 19:30:00+00:00	2024-06-14 15:30:00+00:00	217.7400054931641	213.59500122070312	1 days 20:00:00	37.0	1756.0	1766.0	-0.019036484650915897	-153.36515808105574	11
AAPL	2024-06-17 19:30:00+00:00	2024-06-21 19:30:00+00:00	218.16000366210932	210.4149932861328	4 days 00:00:00	36.0	1777.0	1798.0	-0.03550151377872246	-278.8203735351542	12
AAPL	2024-08-02 18:30:00+00:00	2024-08-06 13:30:00+00:00	223.4199981689453	205.38999938964844	3 days 19:00:00	34.0	1996.0	2005.0	-0.08070002205291837	-613.0199584960938	13
AAPL	2024-11-19 18:30:00+00:00	2024-11-21 14:30:00+00:00	229.5500030517578	228.7899932861328	1 days 20:00:00	30.0	2527.0	2537.0	-0.003310868026665359	-22.80029296875	14
AAPL	2024-12-11 19:30:00+00:00	2024-12-18 20:30:00+00:00	248.2801055908203	249.9199981689453	7 days 01:00:00	28.0	2629.0	2665.0	0.006605009991528021	45.9169921875	15
AAPL	2025-02-26 14:30:00+00:00	2025-03-05 15:30:00+00:00	244.3300018310547	230.94000244140625	7 days 01:00:00	28.0	2970.0	3006.0	-0.05480292755413285	-374.91998291015625	16
AAPL	2025-03-28 13:30:00+00:00	2025-03-28 19:30:00+00:00	221.6490020751953	218.5	0 days 06:00:00	30.0	3124.0	3130.0	-0.014207156566069301	-94.47006225585938	17
AAPL	2025-05-14 15:30:00+00:00	2025-05-23 19:30:00+00:00	212.6179962158203	195.4600067138672	9 days 04:00:00	30.0	3348.0	3401.0	-0.08069866994954045	-514.7396850585938	18
AMD	2023-07-07 18:30:00+00:00	2023-07-11 14:30:00+00:00	114.92849731445312	110.83000183105467	3 days 20:00:00						1
AMD	2023-08-02 14:30:00+00:00	2023-08-02 15:30:00+00:00	112.0999984741211	109.9000015258789	0 days 01:00:00	89.0	235.0	236.0	-0.019625307566351724	-195.7997283935547	2
AMD	2023-10-12 16:30:00+00:00	2023-10-26 19:30:00+00:00	110.06999969482422	94.5199966430664	14 days 03:00:00	89.0	587.0	660.0	-0.14127376301327466	-1383.9502716064453	3
AMD	2023-11-14 17:30:00+00:00	2023-11-21 14:30:00+00:00	120.54000091552734	120.54000091552734	6 days 21:00:00	69.0	748.0	780.0	0.0	0.0	4
AMD	2023-11-29 19:30:00+00:00	2023-12-05 15:30:00+00:00	124.23999786376952	117.41000366210938	5 days 20:00:00	67.0	816.0	840.0	-0.0549741976746434	-457.6096115112295	5
AMD	2023-12-14 16:30:00+00:00	2023-12-20 20:30:00+00:00	138.02999877929688	135.7449951171875	6 days 04:00:00	57.0	890.0	922.0	-0.016554398915579083	-130.24520874023438	6
AMD	2023-12-29 16:30:00+00:00	2024-01-03 14:30:00+00:00	147.63999938964844	135.375	4 days 22:00:00	53.0	960.0	972.0	-0.08307368897556622	-650.0449676513672	7
AMD	2024-01-25 18:30:00+00:00	2024-01-31 14:30:00+00:00	180.1199951171875	165.74000549316406	5 days 20:00:00	39.0	1081.0	1105.0	-0.07983560967047387	-560.8195953369141	8
AMD	2024-02-15 15:30:00+00:00	2024-02-21 14:30:00+00:00	176.83999633789062	162.55999755859375	5 days 23:00:00	37.0	1183.0	1203.0	-0.08075095609033989	-528.3599548339844	9
AMD	2024-03-08 16:30:00+00:00	2024-03-14 18:30:00+00:00	211.6699981689453	187.1300048828125	6 days 02:00:00	28.0	1289.0	1320.0	-0.11593515140745692	-687.1198120117188	10
AMD	2024-04-01 19:30:00+00:00	2024-04-02 15:30:00+00:00	183.4600067138672	176.7100067138672	0 days 20:00:00	29.0	1398.0	1401.0	-0.03679276001841436	-195.75	11
AMD	2024-05-22 16:30:00+00:00	2024-05-23 17:30:00+00:00	167.04989624023438	162.00979614257812	1 days 01:00:00	31.0	1654.0	1662.0	-0.030171225550527092	-156.24310302734375	12
AMD	2024-05-28 18:30:00+00:00	2024-06-04 18:30:00+00:00	171.85009765625	161.99000549316406	7 days 00:00:00	29.0	1677.0	1712.0	-0.057376121966534965	-285.9426727294922	13
AMD	2024-07-12 19:30:00+00:00	2024-07-19 17:30:00+00:00	184.4499969482422	151.4149932861328	6 days 22:00:00	25.0	1891.0	1924.0	-0.179100049925071	-825.8750915527344	14
AMD	2024-09-27 14:30:00+00:00	2024-10-01 16:30:00+00:00	166.1750030517578	160.69000244140625	4 days 02:00:00	23.0	2264.0	2280.0	-0.03300737481342586	-126.15501403808594	15
AMD	2024-10-09 14:30:00+00:00	2024-10-10 18:30:00+00:00	170.97500610351562	163.4897003173828	1 days 04:00:00	22.0	2320.0	2331.0	-0.04378011708682661	-164.67672729492188	16
AMD	2025-03-26 14:30:00+00:00	2025-04-08 19:30:00+00:00	111.44000244140624	78.44000244140625	13 days 05:00:00	32.0	3110.0	3178.0	-0.2961234680280178	-1055.9999999999995	17
AMD	2025-04-15 17:30:00+00:00	2025-04-21 16:30:00+00:00	95.45999908447266	84.19999694824219	5 days 23:00:00	27.0	3211.0	3231.0	-0.11795518797634263	-304.02005767822266	18
AMD	2025-05-05 19:30:00+00:00	2025-05-07 18:30:00+00:00	101.4000015258789	97.66999816894533	1 days 23:00:00	22.0	3304.0	3317.0	-0.03678504241424119	-82.06007385253875	19
AMZN	2023-06-26 16:30:00+00:00	2023-06-26 19:30:00+00:00	127.87000274658205	127.86000061035156	0 days 03:00:00						1
AMZN	2023-09-01 15:30:00+00:00	2023-09-06 16:30:00+00:00	137.8800048828125	135.1199951171875	5 days 01:00:00	72.0	390.0	405.0	-0.020017476558481406	-198.720703125	2
AMZN	2023-10-12 17:30:00+00:00	2023-10-13 16:30:00+00:00	131.94500732421875	130.66000366210938	0 days 23:00:00	74.0	588.0	594.0	-0.009738933576712183	-95.09027099609375	3
AMZN	2024-01-30 15:30:00+00:00	2024-01-31 20:30:00+00:00	160.81500244140625	156.02999877929688	1 days 05:00:00	60.0	1099.0	1111.0	-0.029754709383241873	-287.1002197265625	4
AMZN	2024-02-26 19:30:00+00:00	2024-02-27 17:30:00+00:00	175.33819580078125	174.00999450683594	0 days 22:00:00	53.0	1229.0	1234.0	-0.007575082473498362	-70.39466857910156	5
AMZN	2024-03-04 17:30:00+00:00	2024-03-05 19:30:00+00:00	178.32000732421875	173.91000366210938	1 days 02:00:00	52.0	1262.0	1271.0	-0.024730840516909436	-229.3201904296875	6
AMZN	2024-05-09 18:30:00+00:00	2024-05-15 13:30:00+00:00	190.625	185.7700042724609	5 days 19:00:00	47.0	1593.0	1616.0	-0.025468830046106672	-228.18479919433727	7
AMZN	2024-06-27 18:30:00+00:00	2024-06-28 19:30:00+00:00	198.375	194.02999877929688	1 days 01:00:00	44.0	1824.0	1832.0	-0.02190296771620981	-191.1800537109375	8
AMZN	2024-07-05 17:30:00+00:00	2024-07-19 17:30:00+00:00	199.9600067138672	182.8000030517578	14 days 00:00:00	43.0	1854.0	1924.0	-0.08581717886549423	-737.8801574707031	9
AMZN	2024-08-21 15:30:00+00:00	2024-08-28 17:30:00+00:00	179.58999633789062	170.3800048828125	7 days 02:00:00	44.0	2083.0	2120.0	-0.05128343250116185	-405.2396240234375	10
AMZN	2024-09-25 14:30:00+00:00	2024-10-03 13:30:00+00:00	193.0200042724609	183.0449981689453	7 days 23:00:00	39.0	2250.0	2291.0	-0.05167861300756782	-389.02523803710824	11
AMZN	2024-11-14 15:30:00+00:00	2024-11-15 18:30:00+00:00	212.3999938964844	201.5599975585937	1 days 03:00:00	33.0	2502.0	2512.0	-0.051035765769248176	-357.71987915039347	12
AMZN	2025-04-28 14:30:00+00:00	2025-04-30 15:30:00+00:00	188.45150756835932	181.75	2 days 01:00:00	36.0	3264.0	3279.0	-0.035560912485289586	-241.25427246093545	13
