Ticker	EntryTime	ExitTime	EntryPrice	ExitPrice	Duration	Size	EntryBar	ExitBar	ReturnPct	caso
MRNA	2024-02-14 15:30:00+00:00	2024-02-15 17:30:00+00:00	84.88999938964844	90.70999908447266	1 days 02:00:00					1
MRNA	2024-11-18 14:30:00+00:00	2024-11-25 15:30:00+00:00	38.31499862670898	44.86000061035156	7 days 01:00:00	260.0	2522.0	2558.0	0.17082088524675387	2
MRNA	2025-05-15 19:30:00+00:00	2025-05-20 14:30:00+00:00	23.51499938964844	27.280000686645508	4 days 19:00:00	497.0	3367.0	3383.0	0.16011062703469436	3
NFLX	2023-10-19 15:30:00+00:00	2023-10-25 13:30:00+00:00	399.2999877929688	416.0199890136719	5 days 22:00:00					1
NFLX	2024-08-05 19:30:00+00:00	2024-08-20 13:30:00+00:00	597.5399780273438	689.0	14 days 18:00:00	16.0	2010.0	2081.0	0.15306092535363547	2
NFLX	2024-10-18 13:30:00+00:00	2024-10-21 19:30:00+00:00	737.6400146484375	769.239990234375	3 days 06:00:00	15.0	2375.0	2388.0	0.042839291467936746	3
NFLX	2025-01-15 14:30:00+00:00	2025-01-23 20:30:00+00:00	836.4400024414062	980.0700073242188	8 days 06:00:00	14.0	2780.0	2821.0	0.17171584867245038	4
NFLX	2025-03-10 18:30:00+00:00	2025-03-17 17:30:00+00:00	859.4849853515625	954.0399780273438	6 days 23:00:00	16.0	3037.0	3071.0	0.11001354798199836	5
QQQ	2023-10-26 17:30:00+00:00	2023-11-15 15:30:00+00:00	342.8500061035156	386.80999755859375	19 days 22:00:00					1
QQQ	2024-04-22 16:30:00+00:00	2024-04-29 16:30:00+00:00	416.5899963378906	432.7699890136719	7 days 00:00:00	24.0	1507.0	1542.0	0.038839129163000585	2
QQQ	2024-08-08 13:30:00+00:00	2024-08-21 17:30:00+00:00	441.1499938964844	481.3599853515625	13 days 04:00:00	23.0	2025.0	2092.0	0.09114811744622475	3
QQQ	2024-11-01 14:30:00+00:00	2024-11-08 18:30:00+00:00	490.3599853515625	514.1500244140625	7 days 04:00:00	23.0	2446.0	2484.0	0.048515457568267584	4
SLV	2023-08-17 14:30:00+00:00	2023-08-30 13:30:00+00:00	20.78499984741211	22.850000381469727	12 days 23:00:00					1
