Ticker	EntryTime	ExitTime	Return [%]	CAGR [%]	Sharpe Ratio	Max. Drawdown [%]	Win Rate [%]	# Trades	Expectancy [%]	Profit Factor	Duration	Avg. Trade [%]	Max. Trade Duration	Avg. Trade Duration
SPY	2023-06-13 13:30:00+00:00	2025-06-10 08:00:00+00:00	25.16305328369139	11.976781109162914	3.412457378715744	-2.0079169918180595	100.0	18	1.3616166255050637		727 days 18:30:00	1.3575581075017773	10 days 00:00:00	2 days 23:00:00
META	2023-06-13 13:30:00+00:00	2025-06-10 08:00:00+00:00	78.69976501464832	33.98941365769523	1.562659353956014	-1.2928544654497554	100.0	14	4.757475540494522		727 days 18:30:00	4.64633677441173	6 days 23:00:00	2 days 10:00:00
AAPL	2023-06-13 13:30:00+00:00	2025-06-10 08:00:00+00:00	31.715042877197263	14.893703904424216	2.0528515829312295	-6.426601499421225	88.88888888888889	11	3.1718777975309607	12.40180456524129	727 days 18:30:00	3.1261502096179505	10 days 00:00:00	5 days 20:00:00
AMZN	2023-06-13 13:30:00+00:00	2025-06-10 08:00:00+00:00	67.24365731201175	29.58902630961493	2.3762833137802595	-2.609392938090893	90.47619047619048	22	2.5309716967140865	30.782756536141424	727 days 18:30:00	2.499030265204061	8 days 22:00:00	2 days 11:00:00
NFLX	2023-06-13 13:30:00+00:00	2025-06-10 08:00:00+00:00	48.385575903320316	22.00606212654339	2.583365519643781	-4.771582177337875	100.0	15	3.6854515169317095		727 days 18:30:00	3.5206636935369406	36 days 02:00:00	5 days 10:00:00
MRNA	2023-06-13 13:30:00+00:00	2025-06-10 08:00:00+00:00	29.22720230102539	13.794792138128752	1.2143045114015891	-1.4620648259873303	100.0	3	13.72409264303397		727 days 18:30:00	13.720586117587462	6 days 06:00:00	3 days 15:00:00
TSLA	2023-06-13 13:30:00+00:00	2025-06-10 08:00:00+00:00	75.95139205932614	32.946811015613854	1.6725668016519644	-9.560208781699364	85.71428571428571	9	9.273928054090065	17.825751583659713	727 days 18:30:00	8.522490934055282	23 days 23:00:00	7 days 22:00:00
TNA	2023-06-13 13:30:00+00:00	2025-06-10 08:00:00+00:00	127.38977743148796	51.29081138368048	2.5033248429421318	-3.888035526832745	92.85714285714286	16	6.155377473326638	270.9196889997857	727 days 18:30:00	6.0500047940902135	11 days 20:00:00	3 days 07:00:00
GLD	2023-06-13 13:30:00+00:00	2025-06-10 08:00:00+00:00	28.42346588134771	13.437532401737773	3.092857418910669	-0.8397027944575308	100.0	14	1.9764189428879655		727 days 18:30:00	1.9659921409416192	8 days 20:00:00	3 days 12:00:00
SLV	2023-06-13 13:30:00+00:00	2025-06-10 08:00:00+00:00	44.3110225997925	20.305906567677923	1.4319211811322727	-13.570427448661192	100.0	14	3.1291225079063714		727 days 18:30:00	3.107260697660319	63 days 21:00:00	7 days 18:00:00
USO	2023-06-13 13:30:00+00:00	2025-06-10 08:00:00+00:00	11.454962463378907	5.6180397020073825	1.7601677010632044	-1.1766905646931725	100.0	5	2.7686844275405242		727 days 18:30:00	2.7594515665661845	4 days 19:00:00	2 days 07:00:00
BAC	2023-06-13 13:30:00+00:00	2025-06-10 08:00:00+00:00	21.881529792785624	10.487386277546351	2.5098972635973977	-0.9691870663148472	100.0	11	2.226825081248762		727 days 18:30:00	2.2200476046091877	7 days 01:00:00	3 days 14:00:00
