Ticker	semana	Tag	strike_duration_mean	strike_price_mean	strike_price_q3
AAPL	>s4	long	33.0	19.439999999999998	17.717999999999996
AAPL	s1	long	3.357142857142857	7.414285714285717	3.9420000000000015
AAPL	s1	short	3.466666666666667	8.122666666666667	2.015999999999991
AAPL	s2	long	13.5	7.2050000000000125	4.190000000000009
AAPL	s2	short	10.166666666666666	12.976666666666668	8.319999999999993
AAPL	s3	long	18.75	17.805	13.920000000000005
AAPL	s4	long	22.0	23.159999999999997	23.159999999999997
MRNA	s1	long	3.642857142857143	6.713571428571432	1.7920000000000003
MRNA	s1	short	3.611111111111111	5.946666666666666	1.782
MRNA	s2	long	11.4	10.874	6.095999999999998
MRNA	s2	short	11.5	14.219999999999995	4.737999999999996
MRNA	s3	long	18.5	37.23500000000001	33.69200000000001
MRNA	s3	short	17.0	3.5900000000000034	3.5900000000000034
MRNA	s4	short	22.0	6.690000000000001	6.690000000000001
PLTR	s1	long	4.3125	6.827987499999999	1.2999999999999972
PLTR	s1	short	4.142857142857143	4.7238428571428575	1.3921600000000005
PLTR	s2	long	10.0	10.051199999999998	3.783979999999997
PLTR	s2	short	10.0	2.0800000000000045	1.8340000000000019
PLTR	s3	long	17.285714285714285	15.338185714285714	1.8490600000000001
PLTR	s4	long	25.0	4.704900000000002	4.704900000000002
QQQ	s1	long	4.473684210526316	10.527368421052634	3.755999999999995
QQQ	s1	short	3.142857142857143	20.065714285714275	12.070000000000004
QQQ	s2	long	11.0	16.045999999999992	10.941999999999974
QQQ	s2	short	11.4	30.053999999999995	23.379999999999985
QQQ	s3	long	16.25	26.807500000000033	16.662
QQQ	s3	short	17.0	5.240000000000009	5.240000000000009
QQQ	s4	long	24.0	32.39000000000004	32.39000000000004
SPY	s1	long	3.75	8.069375000000008	4.509999999999991
SPY	s1	short	3.6666666666666665	18.440000000000012	6.230000000000018
SPY	s2	long	10.666666666666666	16.746666666666687	11.196000000000003
SPY	s2	short	11.428571428571429	24.384285714285706	13.817999999999985
SPY	s3	long	15.0	13.430000000000064	13.430000000000064
SPY	s3	short	15.0	47.91999999999996	47.91999999999996
SPY	s4	long	23.0	11.270000000000095	11.270000000000095
